timestamp,date,time,source_wallet,source_wallet_short,trade_type,token_mint,token_mint_short,amount_sol,amount_usd,executor_used,execution_status,failure_reason,transaction_signature,solscan_link,detection_method,detected_dex,slippage_used,execution_time_ms,pre_sol_balance,post_sol_balance,sol_balance_change,token_balance_before,token_balance_after,token_balance_change,trade_count_for_token,portfolio_position_count,notes
2025-10-07T16:05:55.931990,2025-10-07,16:05:55,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,Bm5ZikphdvZBW57bvrNs4njLkYFuQtBuPccamhxQBAGS,Bm5Zikph...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:05:56.789846,2025-10-07,16:05:56,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,SzsVtB4qYVDBXEiQHUcC1urA2upL7ZMcSHiX2DinTen,SzsVtB4q...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:05.872282,2025-10-07,16:06:05,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,DdcvRiEs4k2fXbHqeJBS5jgGD93rj1wu6u8WTL4vmBLV,DdcvRiEs...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:08.251736,2025-10-07,16:06:08,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,354jgbb56NmBnyd647sPmj8S1md9cBeiCPPhT6pQbonk,354jgbb5...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:13.702725,2025-10-07,16:06:13,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,5NxTAEcpN3nAAxnWuWimjq9JwKFn6De3TENHAgStpump,5NxTAEcp...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:17.604956,2025-10-07,16:06:17,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,CB9dDufT...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:21.281998,2025-10-07,16:06:21,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,9H6t1ao2XP2ZeNKRo2gQ3ckrxcUTXgjDmSY1ZB6fpump,9H6t1ao2...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:27.206308,2025-10-07,16:06:27,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,BS51Mm6N7eJbP8EmYUeyuUCiZVwHNV65rTsn69KXpump,BS51Mm6N...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:31.099035,2025-10-07,16:06:31,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,EcMzzinq67zZmxxxAcSSvCuRVfabdyE4jRMxxzqPgVfz,EcMzzinq...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-07T16:06:33.081354,2025-10-07,16:06:33,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,Gzb9XduScnJqZ3GKbazbPLWx8Nw8V6uM9VqEZLe8mBLV,Gzb9XduS...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
