timestamp,date,time,source_wallet,source_wallet_short,trade_type,token_mint,token_mint_short,amount_sol,amount_usd,executor_used,execution_status,failure_reason,transaction_signature,solscan_link,detection_method,detected_dex,slippage_used,execution_time_ms,pre_sol_balance,post_sol_balance,sol_balance_change,token_balance_before,token_balance_after,token_balance_change,trade_count_for_token,portfolio_position_count,notes
2025-10-06T00:20:38.368587,2025-10-06,00:20:38,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,422PiBqk2KNt5Et28r87mntFSVxhSDumnwey7TeSeREV,422PiBqk...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:20:40.506108,2025-10-06,00:20:40,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,8pgk8yb8uDbDvFAcJVXSwvG47sxYjsQiZXKRH4gNpump,8pgk8yb8...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:20:40.850644,2025-10-06,00:20:40,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,HhUn59QX8nE4fftXJNnvWawnKGcUT2EPEUfD7QaEpump,HhUn59QX...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:20:42.312877,2025-10-06,00:20:42,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,HN8myre5U1wRvffZjSYtkc5p3ajh6h2kpj9g4YWxpump,HN8myre5...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:20:48.778622,2025-10-06,00:20:48,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,5eaqpykdqCdD8RWxet7cRRwGQf4ohWxFS6H1JXPzpump,5eaqpykd...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:20:54.077431,2025-10-06,00:20:54,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,HN8myre5U1wRvffZjSYtkc5p3ajh6h2kpj9g4YWxpump,HN8myre5...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:20:56.797279,2025-10-06,00:20:56,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,7W4geAJyy7hxuPXESMMBaW8Zi4MbhVN9uvt6BJ2SEPAV,7W4geAJy...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:21:15.505094,2025-10-06,00:21:15,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,FYdt8T5GXucuM8rTm72jNEk2iSpi74EcsmDKYQhppump,FYdt8T5G...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:34:20.819920,2025-10-06,00:34:20,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,N7fuLMcCyYcLcrUAKt8MidPWAykxXo9fL8Fu7XHpump,N7fuLMcC...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
2025-10-06T00:34:30.908652,2025-10-06,00:34:30,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,suqh5sHt...,sell,6N5cSpWghA9p5Q8PRNkZnvh3aZB2gf3regzQXcnZYaMo,6N5cSpWg...,0.0,,direct_sell_executor,FAILED,Direct SELL copy failed,,,websocket,Unknown,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,
